2022-10-29 03:28:19.881960	https://www.encodeproject.org/report/?type=File&assay_title=eCLIP&assembly=GRCh38&status=released&file_format=bigBed&file_type=bigBed+narrowPeak&limit=all
ID	Title	Accession	Dataset	Genome assembly	Technical replicates	Biological replicates	File Format	File type	File format type	File size	Assay term name	Biosample name	Organ	Simple biosample summary	Batch	Target label	Download URL	Derived from	Genome annotation	Library	Paired end identifier	Paired with	Preferred Default	Run type	Read length	Mapped read length (nt)	Cropped read length (nt)	Cropped read length tolerance (nt)	Mapped run type for bam files	Read length units	Output category	Output type	Index of	QC Metric	Lab	Project	Analysis step run	Date created	Analysis step version	Restricted file	Submitter comment	Status	Annotation type	Annotation subtype	Biochemical activity	Encyclopedia version
/files/ENCFF178XWA/	ENCFF178XWA	ENCFF178XWA	/experiments/ENCSR497XZI/	GRCh38	1_1,2_1	1,2	bigBed	bigBed narrowPeak	narrowPeak	168080	eCLIP	K562	bodily fluid,blood		/biosamples/ENCBS177POD/,/biosamples/ENCBS344MAK/	MBNL1	/files/ENCFF178XWA/@@download/ENCFF178XWA.bigBed	/files/ENCFF603WDI/	V29				True								annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/85887605-308a-4482-8a52-d584bd803e12/	2022-02-01T22:47:16.450694+00:00	/analysis-step-versions/encode4-eclip-idr-bed-to-bigbed-step-v-1-0/			released				
/files/ENCFF433CVR/	ENCFF433CVR	ENCFF433CVR	/experiments/ENCSR953ZOA/	GRCh38	1_1,2_1	1,2	bigBed	bigBed narrowPeak	narrowPeak	359286	eCLIP	K562	bodily fluid,blood		/biosamples/ENCBS177POD/,/biosamples/ENCBS039CVO/	HNRNPK	/files/ENCFF433CVR/@@download/ENCFF433CVR.bigBed	/files/ENCFF318RSO/	V29				True								annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/85887605-308a-4482-8a52-d584bd803e12/	2022-02-01T22:46:04.721630+00:00	/analysis-step-versions/encode4-eclip-idr-bed-to-bigbed-step-v-1-0/			released				
/files/ENCFF785DNN/	ENCFF785DNN	ENCFF785DNN	/experiments/ENCSR256NCI/	GRCh38	1_1,2_1	1,2	bigBed	bigBed narrowPeak	narrowPeak	42233	eCLIP	K562	bodily fluid,blood		/biosamples/ENCBS177POD/,/biosamples/ENCBS344MAK/	APEX1	/files/ENCFF785DNN/@@download/ENCFF785DNN.bigBed	/files/ENCFF283WLS/	V29				True								annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/85887605-308a-4482-8a52-d584bd803e12/	2022-02-01T22:46:30.984927+00:00	/analysis-step-versions/encode4-eclip-idr-bed-to-bigbed-step-v-1-0/			released				
/files/ENCFF147UIY/	ENCFF147UIY	ENCFF147UIY	/experiments/ENCSR248TXP/	GRCh38	1_1	1	bigBed	bigBed narrowPeak	narrowPeak	1533608	eCLIP	K562	bodily fluid,blood		/biosamples/ENCBS344MAK/	FXR1	/files/ENCFF147UIY/@@download/ENCFF147UIY.bigBed	/files/ENCFF032HMG/	V29	ENCLB237AAC											annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/549aba09-a426-435b-b991-b8b7ddd72709/	2022-01-13T12:49:25.392058+00:00	/analysis-step-versions/encode4-eclip-bed-to-bigbed-step-v-1-0/			released				
/files/ENCFF568WRV/	ENCFF568WRV	ENCFF568WRV	/experiments/ENCSR248TXP/	GRCh38	2_1	2	bigBed	bigBed narrowPeak	narrowPeak	1283594	eCLIP	K562	bodily fluid,blood		/biosamples/ENCBS177POD/	FXR1	/files/ENCFF568WRV/@@download/ENCFF568WRV.bigBed	/files/ENCFF587FOC/	V29	ENCLB680CKP											annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/549aba09-a426-435b-b991-b8b7ddd72709/	2022-01-13T12:49:30.555075+00:00	/analysis-step-versions/encode4-eclip-bed-to-bigbed-step-v-1-0/			released				
/files/ENCFF810REG/	ENCFF810REG	ENCFF810REG	/experiments/ENCSR004VIR/	GRCh38	1_1	1	bigBed	bigBed narrowPeak	narrowPeak	1004559	eCLIP	K562	bodily fluid,blood		/biosamples/ENCBS344MAK/	EEF2	/files/ENCFF810REG/@@download/ENCFF810REG.bigBed	/files/ENCFF431NBT/	V29	ENCLB383UAZ											annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/549aba09-a426-435b-b991-b8b7ddd72709/	2022-01-13T12:50:42.788982+00:00	/analysis-step-versions/encode4-eclip-bed-to-bigbed-step-v-1-0/			released				
/files/ENCFF389DKM/	ENCFF389DKM	ENCFF389DKM	/experiments/ENCSR090LNQ/	GRCh38	1_1	1	bigBed	bigBed narrowPeak	narrowPeak	8494868	eCLIP	K562	bodily fluid,blood		/biosamples/ENCBS344MAK/	ELAVL1	/files/ENCFF389DKM/@@download/ENCFF389DKM.bigBed	/files/ENCFF742QQK/	V29	ENCLB739TEB											annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/549aba09-a426-435b-b991-b8b7ddd72709/	2022-01-13T12:50:53.670524+00:00	/analysis-step-versions/encode4-eclip-bed-to-bigbed-step-v-1-0/			released				
/files/ENCFF129LEK/	ENCFF129LEK	ENCFF129LEK	/experiments/ENCSR448GXJ/	GRCh38	1_1	1	bigBed	bigBed narrowPeak	narrowPeak	429300	eCLIP	K562	bodily fluid,blood		/biosamples/ENCBS344MAK/	GARS	/files/ENCFF129LEK/@@download/ENCFF129LEK.bigBed	/files/ENCFF223VLH/	V29	ENCLB630NXD											annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/549aba09-a426-435b-b991-b8b7ddd72709/	2022-01-13T12:51:05.393514+00:00	/analysis-step-versions/encode4-eclip-bed-to-bigbed-step-v-1-0/			released				
/files/ENCFF797ZAP/	ENCFF797ZAP	ENCFF797ZAP	/experiments/ENCSR090LNQ/	GRCh38	2_1	2	bigBed	bigBed narrowPeak	narrowPeak	7552559	eCLIP	K562	bodily fluid,blood		/biosamples/ENCBS177POD/	ELAVL1	/files/ENCFF797ZAP/@@download/ENCFF797ZAP.bigBed	/files/ENCFF856NLY/	V29	ENCLB327WKM											annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/549aba09-a426-435b-b991-b8b7ddd72709/	2022-01-13T12:50:59.673210+00:00	/analysis-step-versions/encode4-eclip-bed-to-bigbed-step-v-1-0/			released				
/files/ENCFF944YNX/	ENCFF944YNX	ENCFF944YNX	/experiments/ENCSR554UVB/	GRCh38	1_1	1	bigBed	bigBed narrowPeak	narrowPeak	1920644	eCLIP	K562	bodily fluid,blood		/biosamples/ENCBS344MAK/	FMR1	/files/ENCFF944YNX/@@download/ENCFF944YNX.bigBed	/files/ENCFF066LUR/	V29	ENCLB828AGB											annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/549aba09-a426-435b-b991-b8b7ddd72709/	2022-01-13T12:49:14.182205+00:00	/analysis-step-versions/encode4-eclip-bed-to-bigbed-step-v-1-0/			released				
